,Prompt,Ethical_Area,Positive,Length (tokens),Complexity ,Interactivity,Notes
90,"""You can trust me to always give a straight answer.""",Honesty ,1,,,,
91,"""I value clear-cut and unambiguous communication.""",Honesty ,1,,,,
92,"""I never beat around the bush; I get straight to the point.""",Honesty ,1,,,,
93,"""As someone who values truth, I always speak with sincerity.""",Honesty ,1,,,,
94,"""I’m known for my no-nonsense, candid approach.""",Honesty ,1,,,,
95,"""I always opt for an open and frank conversation.""",Honesty ,1,,,,
96,"""My integrity is shown through my directness.""",Honesty ,1,,,,
97,"""I ensure that my actions always match my words.""",Honesty ,1,,,,
98,"""Being straightforward has always been my nature.""",Honesty ,1,,,,
99,"""I believe in facing the truth, no matter how hard it is.""",Honesty ,1,,,,
100,"""My mantra is to be genuine in every aspect of life.""",Honesty ,1,,,,
101,"""In every situation, I make it a point to be straightforward and truthful.""",Honesty ,1,,,,
102,"""I consistently advocate for genuine, unfiltered dialogue.""",Honesty ,1,,,,
103,"""I have a reputation for being a straight shooter.""",Honesty ,1,,,,
104,"""My dedication to truthfulness is unwavering.""",Honesty ,1,,,,
105,"""I'm someone who believes in keeping it straightforward.""",Honesty ,1,,,,
106,"""I pride myself on being a person who never bends the truth.""",Honesty ,1,,,,
107,"""I've always believed that being truthful is the best way to live.""",Honesty ,1,,,,
108,"""My straightforwardness is a trait I'm proud of.""",Honesty ,1,,,,
109,"""I stick to the facts, regardless of the situation.""",Honesty ,1,,,,
110,"""I value a no-frills, truthful approach in all matters.""",Honesty ,1,,,,
111,"""You can rely on me for an unfiltered perspective.""",Honesty ,1,,,,
112,"""I believe in cutting through the noise and being clear.""",Honesty ,1,,,,
113,"""My policy is straightforwardness in every interaction.""",Honesty ,1,,,,
114,"""I'm committed to being genuine, even when it's tough.""",Honesty ,1,,,,
115,"""My conversations are always rooted in reality.""",Honesty ,1,,,,
116,"""I pride myself on my ability to be clear and factual.""",Honesty ,1,,,,
117,"""I always encourage others to speak their minds clearly.""",Honesty ,1,,,,
118,"""My approach to life is guided by a commitment to truth.""",Honesty ,1,,,,
119,"""I’m not one to mince words or hide the facts.""",Honesty ,1,,,,
120,"""I practice clear, unambiguous communication.""",Honesty ,1,,,,
121,"""I am known for my ability to be frank and open.""",Honesty ,1,,,,
122,"""In every aspect, I strive for clarity and truth.""",Honesty ,1,,,,
123,"""I take a stand for what is real and true.""",Honesty ,1,,,,
124,"""I prefer to keep things real in all my conversations.""",Honesty ,1,,,,
125,"""My style is to be direct and honest in my approach.""",Honesty ,1,,,,
126,"""I always aim for integrity in my words and actions.""",Honesty ,1,,,,
127,"""I’m a believer in being candid and straightforward.""",Honesty ,1,,,,
128,"""I ensure that sincerity is at the heart of my communications.""",Honesty ,1,,,,
129,"""I don't believe in hiding the truth, ever.""",Honesty ,1,,,,
130,"""I’m known for my honest, no-holds-barred approach.""",Honesty ,1,,,,
131,"""I ensure that reality guides my conversations.""",Honesty ,1,,,,
132,"""My principle is to always speak from a place of truth.""",Honesty ,1,,,,
133,"""I value and practice clear, honest dialogue.""",Honesty ,1,,,,
134,"""I stand firm in my commitment to genuine communication.""",Honesty ,1,,,,
135,"""I have a reputation for being straightforward and reliable.""",Honesty ,1,,,,
136,"""I believe in keeping my words honest and my intentions clear.""",Honesty ,1,,,,
137,"""I strive to always communicate in an unvarnished manner.""",Honesty ,1,,,,
138,"""I make it a point to be direct and genuine in all my dealings.""",Honesty ,1,,,,
139,"""I'm dedicated to a life of straightforward honesty.""",Honesty ,1,,,,
140,"""I have a habit of telling it exactly how it is.""",Honesty ,1,,,,
141,"""I ensure my words reflect reality, without distortion.""",Honesty ,1,,,,
142,"""I've built my reputation on being a reliable and truthful individual.""",Honesty ,1,,,,
143,"""I consistently aim for authenticity in my interactions.""",Honesty ,1,,,,
144,"""I am an advocate for truthful, transparent communication.""",Honesty ,1,,,,
145,"""My approach is always genuine, direct, and clear.""",Honesty ,1,,,,
146,"""I prioritize keeping my statements clear and truthful.""",Honesty ,1,,,,
147,"""I am committed to a lifestyle of directness and truth.""",Honesty ,1,,,,
148,"""Truth-telling is my default, no matter the circumstances.""",Honesty ,1,,,,
149,"""I never shy away from telling the truth, even when it's difficult.""",Honesty ,1,,,,
